职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
财务数据分析师,1万-1.5万,上海-徐汇区,1-3年,大专,"['数据分析', '数据监控', '运营数据分析', '财务数据分析']",深圳市杰讯互联科技有限公司,民营 ,100-299人 
数据分析师(接受无经验),8千-1万,上海-黄浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
数据分析师,1.1万-2.2万,上海-徐汇区,1-3年,本科,"['数据分析', 'SQL', 'Excel']",厦门真有趣信息科技有限公司,民营 ,300-499人 
Power BI数据分析师-初级,5千-8千,上海-静安区,不限,大专,"['Power BI', 'BI', '数据分析', 'Tableau']",敏捷艾科,民营 ,20-99人 
数据分析师,1万-1.5万,上海-浦东新区,1-3年,本科,"['埋点', '互联网产品', 'APP']",微创软件,合资 ,10000人以上 
数据分析师,1.7万-2.7万,上海-浦东新区,不限,本科,"['Python', 'SQL']",宜通华瑞,民营 ,1000-9999人 
数据工程师,1.5万-2万,上海-黄浦区,3-5年,本科,"['Kettle', 'Spark', 'Kafka', 'Hadoop', 'Flink', 'Datastage', 'FineReport (帆软)', 'HIVE']",南京云白信息科技有限公司,民营 ,20-99人 
数据分析岗（催收策略方向）/周末双休/年终奖,1万-1.5万,上海-浦东新区,不限,本科,"['SPSS', '行业数据分析', '推广数据运营', '数据仓库建模', 'SQL']",平安金服,股份制企业 ,1000-9999人 
Power BI数据分析师,5千-8千,上海-静安区,不限,大专,"['Power BI', '商业分析', '数据分析', 'BI', 'SQL', 'Excel']",敏捷艾科,民营 ,20-99人 
数据分析岗,1万-1.5万,上海-浦东新区,1-3年,本科,"['数据分析', '运营数据分析', '经营数据分析']",智联猎头,上市公司 ,1000-9999人 
电商数据分析师(J10708),1万-1.4万,上海,不限,本科,"['行业分析', '数据银行', '策略中心', '京东数坊']",特朗思大宇宙,外商独资 ,1000-9999人 
销售运营（数据分析）,9千-1.7万,上海-浦东新区,1-3年,本科,"['绩效管理', '客户管理', '业务管理']",IQVIA 艾昆纬,外商独资 ,10000人以上 
销售助理--销售数据分析,8千-1万,上海-徐汇区,不限,本科,['销售数据分析'],任仕达企业管理(上海)有限公司深圳分公司,外商独资 ,100-299人 
数据分析岗,8千-1.5万,上海-金山区,1-3年,本科,['建筑业'],宏信建发,合资 ,1000-9999人 
业务分析师（BA）,1.5万-2万,上海,1-3年,本科,"['统计学', '数据分析']",欣和企业,外商独资 ,1000-9999人 
数据分析师,1万-1.6万,上海-浦东新区,不限,硕士,['Python'],上海优宁维生物科技股份有限公司,上市公司 ,500-999人 
上市公司招数据分析师,8千-1.5万,上海-徐汇区,不限,本科,"['销售方向', '运营方向', '物流方向', '客服方向', '店长方向', '营销方向', '市场方向', '法务方向']",上海链家地产,民营 ,10000人以上 
Data Analysis数据分析专员,8千-1万,上海-浦东新区,1-3年,本科,['IT/互联网'],上海柏迦科技有限公司,合资 ,100-299人 
数据分析师（跨境电商）,1.5万-2.5万,上海-虹口区,1-3年,本科,"['Python', 'SQL']",维信金科,外商独资 ,1000-9999人 
数据分析师(接受无经验),8千-1万,上海-杨浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
大数据开发工程师,6千-8千,上海-普陀区,不限,大专,"['大数据开发', '数据分析', 'Linux', 'Java']",上海上嵌信息科技有限公司,民营 ,100-299人 
大数据分析师,1万-1.6万,上海-徐汇区,不限,本科,"['销售方向', '店长方向', '营销方向', '市场方向']",上海链家地产,民营 ,10000人以上 
数据分析工程师-数据业务（上海）,1.5万-2万,上海,不限,本科,"['大数据', '数据挖掘', '车联网', '机器学习']",经纬恒润,民营 ,1000-9999人 
销售数据分析员-汉高外包项目,7千-9千,上海-杨浦区,1-3年,本科,"['数据分析', '统计学']",电声股份,合资 ,1000-9999人 
电商战略部-促销&利润分析主管,8千-1.2万,上海-静安区,1-3年,本科,['数据分析'],爱茉莉太平洋,外商独资 ,1000-9999人 
数据分析师,1.3万-2万,上海-浦东新区,1-3年,本科,['Excel'],维恩贝特科技有限公司,民营 ,500-999人 
电商数据分析专员,8千-1.2万,上海-静安区,3-5年,本科,"['SQL', 'Excel', '相关分析', '英语能力良好', '电商商城数据分析']",广州启全贸易有限公司,其它 ,500-999人 
数据专员,1.2万-1.5万,上海-长宁区,1-3年,本科,"['SQL', 'Excel']",上海清赟医药科技有限公司,合资 ,500-999人 
数据分析师,1.7万-2.6万,上海-黄浦区,3-5年,本科,"['数据分析', 'Python', 'SQL', 'CRM']",北京科诺思通咨询有限公司,外商独资 ,100-299人 
财务数据分析,9千-1.5万,上海,3-5年,本科,['经营分析'],上海加冷松芝汽车空调股份有限公司,股份制企业 ,1000-9999人 
数据分析师（策略管理方向/银行风控经验）,1万-1.5万,上海-浦东新区,不限,硕士,"['销售策略', '营销策略', '内容策略', '渠道策略', '用户策略']",平安金服,股份制企业 ,1000-9999人 
市场分析调研专员,1万-1.3万,上海-闵行区,1-3年,大专,['市场调研分析'],上海宠博实业有限公司,民营 ,20-99人 
商品货控,8千-1万,上海-长宁区,1-3年,大专,"['数据分析', '销售业务数据', 'EXCEL熟练']",上海丸优贸易有限公司,合资 ,20-99人 
数据分析师,2万-2.5万,上海-闵行区,3-5年,本科,"['数据分析', '数据中台', '模型设计', 'BI']",快乐蜂餐饮集团,外商独资 ,1000-9999人 
数据治理（待遇好+早9晚5+双休）,1.3万-2.1万,上海-浦东新区,不限,本科,"['数据治理', '数据分析', '数据仓库']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
初级数据,7千-9千,上海-浦东新区,1-3年,本科,"['SQL', '数据库', '数据仓库', '数据分析']",博彦科技,上市公司 ,10000人以上 
BI工程师\数据分析\数据库,1.2万-2.2万,上海-浦东新区,3-5年,本科,"['Hive', '数据挖掘', 'Tableau', 'DB2', 'Impala', 'Python']",上海海万信息科技股份有限公司,民营 ,1000-9999人 
数据分析/统计留学生Assessment/Essay各科英文写手写作老师,1万-2万,上海-浦东新区,不限,本科,['数据分析'],九江京聘人力资源服务有限公司,民营 ,20-99人 
数据处理工程师,1万-2万,上海-宝山区,不限,本科,"['MATLAB', 'Python', '机器学习', '神经网络']",南京思影科技有限公司,民营 ,20人以下 
信息员/信息统计员 助理,5千-8千,上海-徐汇区,不限,高中,"['统计学', '销售业务数据', '数据分析']",上海芯捷计算机科技有限公司,民营 ,100-299人 
数据分析主管,1万-1.5万,上海-徐汇区,3-5年,本科,['临床数据分析'],上海海天医药科技开发有限公司,上市公司 ,1000-9999人 
市场支持岗（数据统计）(J11779),9千-1.7万,上海-浦东新区,不限,本科,['数据统计'],贵酿酒业,民营 ,1000-9999人 
数据管理经理（薪资范围：面议，15k-20k）,1.5万-2万,上海,3-5年,本科,"['服装行业', '数据分析部门经理']",上海乔治白实业有限公司,上市公司 ,100-299人 
数据分析&决策支持方向,7千-1.3万,上海-青浦区,不限,本科,['相关分析'],申通快递,上市公司 ,10000人以上 
销售支持专员,1万-1.4万,上海-浦东新区,1-3年,本科,"['SAP', 'ERP', '订单管理', '数据管理', '主数据', '商务', '销售支持', '销售运营']",外企德科,合资 ,1000-9999人 
索尼办公室销售数据分析综薪8K+五险一金+双休,8千-1万,上海-浦东新区,不限,大专,"['数据分析', 'Power BI', 'BI', 'Python', '舆情分析', '市场数据分析', '销售数据分析', '电商数据分析']",上海外服杰浦企业管理有限公司,国企 ,100-299人 
大数据开发工程师,1.8万-2.5万,上海-嘉定区,不限,本科,['Java'],上海天畅信息技术有限公司,合资 ,100-299人 
数据分析师,1.5万-2.4万,上海-徐汇区,1-3年,大专,['需求分析'],凯捷中国,外商独资 ,1000-9999人 
BI报表开发工程师,1.2万-1.7万,上海-浦东新区,3-5年,本科,"['Power BI', 'SQL', 'Tableau', 'FineBI', '数据可视化']",江苏鑫瑞源科技有限公司,民营 ,20-99人 
数据分析工程师(J10553),2.5万-3.5万,上海-闵行区,5-10年,本科,"['数据分析', '回归分析', '方差分析']",卫龙,民营 ,1000-9999人 
数据服务专员,6千-8千,上海-静安区,1-3年,大专,['SQL'],外企德科,合资 ,1000-9999人 
